brand;name;comercial_description;monthly_list_price;downlaod_speed;upload_speed;yearly_list_price;yearly_margin;
"Ziggo";"Internet Z1";"E-mailen, internetten, foto's bekijken en je bankzaken online regelen. Het kan allemaal zeer voordelig met Z1.";37,15;8;1;446;208
Ziggo;Alles-in-1 Basis;"Televisie, Internet en Telefonie in één pakket. Dat is een stuk voordeliger en overzichtelijker.";42,71;10;1;513;231
Ziggo;Internet Z2;"Z2 is een abonnement voor het hele gezin. Surfen, e-mailen, downloaden, foto's versturen en gamen.";47,15;30;3;566;264
Ziggo;Alles-in-1 Plus;"Televisie, Internet en Telefonie in één pakket. Dat is een stuk voordeliger en overzichtelijker.";52,00;50;5;624;297
Ziggo;Internet Z3;"Grote bestanden snel up- en downloaden, online gamen of genieten van streaming audio en video.";65,15;80;8;782;374
Ziggo;Alles-in-1 Extra;"Televisie, Internet en Telefonie in één pakket. Dat is een stuk voordeliger en overzichtelijker.";67,00;120;10;804;378
Ziggo;Internet Start & TV Start;"6 maanden voor € 39,95 per maand of Wifiboosters t.w.v. € 149,00 en gratis tv-pakket";53;;;;;
